company_id,会社名,ステータス,件名
2650,ビデオテクニカ株式会社,下書き作成,映像検索の時間短縮、補助金活用のご相談
18875,有限会社千広デザインサービス,下書き作成,色柄提案準備の負担軽減について
23221,Ｒ＆Ｙジャパン合同会社,下書き作成,インド紅茶輸入の通関書類、AIで負担軽減
25963,株式会社アジア運輸,下書き作成,全国拠点の配車調整、AIで解消できませんか
44754,山木金属株式会社,要確認(low_confidence),
60299,有限会社オフィスアキ,下書き作成,修繕履歴の引継ぎ、AI要約という選択肢
64986,合同会社ＢＡＳＩＣ,下書き作成,5支店の日報集計、AI化のご相談
73041,産後ケア株式会社,下書き作成,カスタマイズプラン作成、AIで効率化
76922,有限会社相原聰建築設計事務所,下書き作成,内皮断熱工法の設計図書作成をAIで効率化
80939,合同会社ＰＲＦ,要確認(low_confidence),
83050,株式会社健康長寿研究所,下書き作成,健康セミナー提案資料の作成工数について
84613,日本ＪＥＴオプトエレクトロニクス株式会社,下書き作成,OEM仕様書突合の負担軽減について
87126,京浜化学工業株式会社,下書き作成,フェライト二次加工の工程管理、AIで一元化できませんか
87792,グローバルホーム株式会社,下書き作成,独占物件情報のデータ化ご相談
89219,日本エレパック株式会社,要確認(low_confidence),
89410,小宮商事株式会社,下書き作成,小ロット多頻度配送の調整業務、AIで効率化できませんか
94273,株式会社Ｊ－ｍｏｌｄｉｎｇ,下書き作成,射出成形品の外観検査、自動化の余地は
124759,株式会社ＬＩＮＫＳ,下書き作成,貴社の複数事業部管理、AIで一元化できます
127386,株式会社マルビ,下書き作成,舗装工事の見積積算、AIで時短できませんか
133098,株式会社港石材,下書き作成,墓石提案書、AI作成で準備時間の削減を
133468,株式会社創和パートナーズ,下書き作成,士業連携業務、情報整理のご提案
143446,有限会社神原興業,下書き作成,公共工事の積算業務、AIで効率化できませんか
148459,ハルノバ合同会社,下書き作成,ハルノバ様のイベント告知・日程調整のご相談
148658,メテオリサーチ合同会社,下書き作成,建物調査報告書、作成時間の削減余地について
150481,太平電機株式会社,下書き作成,在庫・端子照合の自動化についてご相談
168646,株式会社ジェイ石田アソシエイツ,下書き作成,顧客ごとの企画書作成、AIで効率化しませんか
175413,長城日本技研株式会社,下書き作成,日中設計資料の翻訳共有、AIで効率化できませんか
206940,ＮＰＯ法人おいしい給食かまくら,下書き作成,対象校選定・進捗管理の負担軽減について
231935,学校法人平成学園,下書き作成,五感体験の記録業務、AIで軽減できませんか
254562,株式会社チーム,下書き作成,商用車デザイン提案、AIで時短できませんか
257113,株式会社トップノッチ,下書き作成,個性的な物件紹介文の作成、AIで支援できます
278909,株式会社相模防災設備,下書き作成,点検・完了報告書作成のAI化提案
292480,株式会社キャビン商事,下書き作成,AVEDA施術カルテ管理のAI活用について
294174,福島タカラ電気工業株式会社,下書き作成,多品種見積の工数算出、自動化のご相談
302688,株式会社心和建設,下書き作成,大規模修繕の報告書作成、AIで効率化できませんか
315945,一般社団法人医薬品適正使用乱用防止推進会議,下書き作成,啓発教材作成の負担、AIで軽減できます
319898,株式会社アルコム湘南,下書き作成,廃棄物・資材管理の紙台帳、自動化のご提案
326341,有限会社タバタ,下書き作成,回収受付・ルート調整の自動化提案
337447,ＫＥＮ－ｎｅｔ株式会社,下書き作成,検査報告書作成のAI効率化について
359627,トナミ首都圏物流株式会社,要確認(low_confidence),
